CLASE DE EQUIPO;ESTADO DEL EQUIPO;MARCA;MODELO;SERIAL DEL EQUIPO;MEMORIA RAM;DISCO DURO;SERIAL MONITOR;SERIAL MOUSE;NOMBRE ACTUAL DEL EQUIPO;NOMBRE NUEVO DEL EQUIPO
PC PORTATIL;EN USO;LENOVO;81YB;PF1TTBDZ;12 GB;1 TB;N/A;SIN MOUSE;TLC01ENEWIVERP2;TLC01ENEWIVERP2
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G1;CNU423B73W;8 GB;200 GB;N/A;SIN MOUSE;TLC01ENEWIVERP1;TLC01ENEWIVERP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P4Q;4 GB;500 GB;CN420502YQ;7CH8054KYR;COD02ADMMACAJIG;COD02ADMMACAJIG
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712WD;4 GB;500 GB;3CQ3460VXH;FATSQ0E8F20SA8;TLC02ENEJECHARR;TLC02ENEJECHARR
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1350CG7;4 GB;500 GB;3CQ04809N6;417441-002;COD02ADMJLRAMIR;COD02ADMJLRAMIR
PC ESCRITORIO;DAR DE BAJA;HP;HP COMPAQ ELITE 8300 SFF;MXL33712LZ;4 GB;500 GB;3CQ3460VWH;7CH2450D40;VER02COMLFTRUJI;VER02COMLFTRUJI
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HGQ;4 GB;500 GB;CN420501P4;NO LEGIBLE;TLC02ENEYOMARMO;TLC02ENEYOMARMO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712R3;4 GB;500 GB;3CQ4382BM9;SIN MOUSE ;COD02ADMKJMAMBA;COD02ADMJUCSANC
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL11823ZB;4 GB;500 GB;3CQ04809HH;7CH9220TN8;CAM11FINSPPULID;CAM11FINSPPULID
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031KKQ;4 GB;1 TB;3CQ3460VWW;FCGLH0DHD3SYSE;PEN03COMJCMENDO;SFE02TELSVVICTO
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G4;5CG7503GC1;8 GB;1 TB;N/A;N/A;BOU09ENEADAPOP1;TLC01ENEJFGOMP2
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G3;5CG6495Z34;8 GB;500 GB;N/A;N/A;VER02COMCAAMAP1;VER02COMCAAMAP1
